Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
10-APR-2018,10412.9,10424.85,10381.5,10402.25,259523888,11905.12
11-APR-2018,10428.15,10428.15,10355.6,10417.15,258077363,11790.58
12-APR-2018,10410.65,10469.9,10395.25,10458.65,246027888,12249.66
13-APR-2018,10495.3,10519.9,10451.45,10480.6,219724716,12354.55
16-APR-2018,10398.3,10540.15,10396.35,10528.35,200950876,11242.05
17-APR-2018,10557.3,10560.45,10495.65,10548.7,212449535,10501.71
18-APR-2018,10578.9,10594.2,10509.7,10526.2,211823044,9888.65
19-APR-2018,10563.65,10572.2,10546.2,10565.3,270740891,12559.11
20-APR-2018,10560.35,10582.35,10527.45,10564.05,252227268,15372.66
23-APR-2018,10592.8,10638.35,10514.95,10584.7,200203196,13642.67
24-APR-2018,10578.1,10636.8,10569,10614.35,225972673,12281.53
25-APR-2018,10612.4,10612.6,10536.45,10570.55,195129613,11125.11
26-APR-2018,10586.5,10628.4,10559.65,10617.8,345536167,19200.41
27-APR-2018,10651.65,10719.8,10647.55,10692.3,306671172,16886.89
30-APR-2018,10705.75,10759,10704.6,10739.35,179163468,10412.57
02-MAY-2018,10783.85,10784.65,10689.8,10718.05,236757172,14820.58
03-MAY-2018,10720.15,10720.6,10647.45,10679.65,190869804,11018.21
04-MAY-2018,10700.45,10700.45,10601.6,10618.25,192296041,9721.56
07-MAY-2018,10653.15,10725.65,10635.65,10715.5,173620240,9239.44
08-MAY-2018,10757.9,10758.55,10689.4,10717.8,278118616,12783.49
09-MAY-2018,10693.35,10766.25,10689.85,10741.7,222115640,10390.92
10-MAY-2018,10779.65,10785.55,10705,10716.55,197988475,10526.38
11-MAY-2018,10741.95,10812.05,10724.45,10806.5,209392114,10432.43
14-MAY-2018,10815.15,10834.85,10774.75,10806.6,176697512,9075.44
15-MAY-2018,10812.6,10929.2,10781.4,10801.85,262202312,13582.7
16-MAY-2018,10751.95,10790.45,10699.7,10741.1,238221884,11359.48
17-MAY-2018,10775.6,10777.25,10664.5,10682.7,220738923,12506.3
18-MAY-2018,10671.85,10674.95,10589.1,10596.4,229908939,13908.47
21-MAY-2018,10616.7,10621.7,10505.8,10516.7,197294184,11346.13
22-MAY-2018,10518.45,10558.6,10490.55,10536.7,249236637,12017.36
23-MAY-2018,10521.1,10533.55,10417.8,10430.35,299919120,13456.6
24-MAY-2018,10464.85,10535.15,10419.8,10513.85,306792497,12914.16
25-MAY-2018,10533.05,10628.05,10524,10605.15,268914888,12431.16
28-MAY-2018,10648.35,10709.8,10640.55,10688.65,239786001,11764.35
29-MAY-2018,10689.4,10717.25,10616.1,10633.3,232761575,11817.39
30-MAY-2018,10579,10648.7,10558.45,10614.35,246124259,12224.76
31-MAY-2018,10670.1,10763.8,10620.4,10736.15,629198569,29479.77
01-JUN-2018,10738.45,10764.75,10681.5,10696.2,227355567,12965.01
04-JUN-2018,10765.95,10770.3,10618.35,10628.5,210148313,14120.49
05-JUN-2018,10630.7,10633.15,10550.9,10593.15,172898027,10027.54
06-JUN-2018,10603.45,10698.35,10587.5,10684.65,195761429,9920.75
07-JUN-2018,10722.6,10818,10722.6,10768.35,227663151,11315.24
08-JUN-2018,10736.4,10779.45,10709.05,10767.65,215942528,12360.88
11-JUN-2018,10781.85,10850.55,10777.05,10786.95,217849903,11384.97
12-JUN-2018,10816.15,10856.55,10789.4,10842.85,204419184,11989.07
13-JUN-2018,10887.5,10893.25,10842.65,10856.7,220003032,12982.8
14-JUN-2018,10832.9,10833.7,10773.55,10808.05,190031664,11659.79
15-JUN-2018,10808.65,10834,10755.4,10817.7,314764425,19271.43
18-JUN-2018,10830.2,10830.2,10787.35,10799.85,202727202,11182.48
19-JUN-2018,10789.45,10789.45,10701.2,10710.45,231382790,12290.16
20-JUN-2018,10734.65,10781.8,10724.05,10772.05,199467082,10858.35
21-JUN-2018,10808.45,10809.6,10725.9,10741.1,230507383,12211.18
22-JUN-2018,10742.7,10837,10710.45,10821.85,236898415,13520.01
25-JUN-2018,10822.9,10831.05,10753.05,10762.45,236693278,12012.41
26-JUN-2018,10742.7,10805.25,10732.55,10769.15,226846382,12113.53
27-JUN-2018,10785.5,10785.5,10652.4,10671.4,253620792,13837.03
28-JUN-2018,10660.8,10674.2,10557.7,10589.1,363157327,20187.98
29-JUN-2018,10612.85,10723.05,10612.35,10714.3,250327878,14440.17
02-JUL-2018,10732.35,10736.15,10604.65,10657.3,304536687,13591.3
03-JUL-2018,10668.6,10713.3,10630.25,10699.9,208371545,10896.89
04-JUL-2018,10715,10777.15,10677.75,10769.9,179268271,10388.69
05-JUL-2018,10786.05,10786.05,10726.25,10749.75,227267176,13676.58
06-JUL-2018,10744.15,10816.35,10735.05,10772.65,256547706,14006.48
09-JUL-2018,10838.3,10860.35,10807.15,10852.9,189331016,10843.92
10-JUL-2018,10902.75,10956.9,10876.65,10947.25,203061980,12834.85
11-JUL-2018,10956.4,10976.65,10923,10948.3,229211999,15944.45
12-JUL-2018,11006.95,11078.3,10999.65,11023.2,256034815,15787.28
13-JUL-2018,11056.9,11071.35,10999.75,11018.9,241670818,14744.56
16-JUL-2018,11018.95,11019.5,10926.25,10936.85,216971413,13709.57
17-JUL-2018,10939.65,11018.5,10925.6,11008.05,217107580,12649.4
18-JUL-2018,11060.2,11076.2,10956.3,10980.45,232502459,13320.2
19-JUL-2018,10999.5,11006.5,10935.45,10957.1,222056399,12199.98
20-JUL-2018,10963.5,11030.25,10946.2,11010.2,193144113,14105.94
23-JUL-2018,11019.85,11093.4,11010.95,11084.75,236153085,14932.51
24-JUL-2018,11109,11143.4,11092.5,11134.3,212247395,13931.15
25-JUL-2018,11148.4,11157.15,11113.25,11132,212333169,12528.8
26-JUL-2018,11132.95,11185.85,11125.7,11167.3,376657398,21595.33
27-JUL-2018,11232.75,11283.4,11210.25,11278.35,324343457,15203.09
30-JUL-2018,11296.65,11328.1,11261.45,11319.55,287435926,14716.66
31-JUL-2018,11311.05,11366,11267.75,11356.5,264430889,15297.4
01-AUG-2018,11359.8,11390.55,11313.55,11346.2,278012697,14436.12
02-AUG-2018,11328.9,11328.9,11234.95,11244.7,216533127,12267.66
03-AUG-2018,11297.8,11368,11294.55,11360.8,225146360,12984.66
06-AUG-2018,11401.5,11427.65,11370.6,11387.1,210002582,11321.55
07-AUG-2018,11423.15,11428.95,11359.7,11389.45,233409612,12457.71
08-AUG-2018,11412.5,11459.95,11379.3,11450,217047641,12422.62
09-AUG-2018,11493.25,11495.2,11454.1,11470.7,311521403,15842.76
10-AUG-2018,11474.95,11478.75,11419.65,11429.5,336424182,15738.26
13-AUG-2018,11369.6,11406.3,11340.3,11355.75,254466760,12899.22
14-AUG-2018,11381.7,11452.45,11370.8,11435.1,239841680,13935.35
16-AUG-2018,11397.15,11449.85,11366.25,11385.05,299610298,17081.62
17-AUG-2018,11437.15,11486.45,11431.8,11470.75,241985503,13275.31
